"RegionID","SizeRank","RegionName","RegionType","StateName","State","City","Metro","CountyName","2000-01-31","2000-02-29","2000-03-31","2000-04-30","2000-05-31","2000-06-30","2000-07-31","2000-08-31","2000-09-30","2000-10-31","2000-11-30","2000-12-31"
77825,30012,"45808",Zip,OH,OH,Beaverdam,Lima,Allen County,"","","","","","","","","","","",""
86042,30044,"63431",Zip,MO,MO,Anabel,"",Macon County,"","","","","","","","","","","",""
84083,30044,"59480",Zip,MT,MT,Stockett,Great Falls,Cascade County,"","","","","","","","","","","",""
91537,30044,"76676",Zip,TX,TX,Penelope,"",Hill County,"","","","","","","","","","","",""
63599,30044,"14549",Zip,NY,NY,Town of Castile,"",Wyoming County,"","","","","","","","","","","",""
68120,30044,"24377",Zip,VA,VA,Tannersville,Bluefield,Tazewell County,"","","","","","","","","","","",""
90937,30044,"75475",Zip,TX,TX,Bonham,Bonham,Fannin County,"","","","","","","","","","","",""
85210,30068,"61871",Zip,IL,IL,Royal,Champaign-Urbana,Champaign County,"","","","","","","","",70410.0,70326.0,70480.0,70709.0
85168,30068,"61815",Zip,IL,IL,Bondville,Champaign-Urbana,Champaign County,"","","","","","","","","","","",""
62697,30068,"12720",Zip,NY,NY,Bethel,"",Sullivan County,85057.0,85611.0,85865.0,86611.0,87348.0,88190.0,89222.0,90205.0,90992.0,91118.0,91303.0,92064.0
61048,30068,"08321",Zip,NJ,NJ,Downe Township,Vineland-Bridgeton,Cumberland County,"","","","","","","","","","","",""
89746,30068,"72760",Zip,AR,AR,Saint Paul,Fayetteville-Springdale-Rogers,Madison County,"","",48143.0,48788.0,49902.0,50115.0,50098.0,50301.0,51611.0,53046.0,53993.0,53825.0
93420,30068,"80476",Zip,CO,CO,Silver Plume,Denver-Aurora-Lakewood,Clear Creek County,"","","","","","","","","","","",""
80899,30068,"52231",Zip,IA,IA,Harper,"",Keokuk County,"","","","","","","","","","","",""
67297,30068,"22538",Zip,VA,VA,Rappahannock Academy,Richmond,Caroline County,"","","","","","","","","","","",""
86836,30068,"65543",Zip,MO,MO,Lynchburg,Lebanon,Laclede County,"","","","","","","","","","","",""
93753,30068,"81251",Zip,CO,CO,Twin Lakes,"",Lake County,"","","","","","","","","","","",""
80451,30096,"50586",Zip,IA,IA,Somers,"",Calhoun County,"","","","","","","","","","","",""
85004,30096,"61474",Zip,IL,IL,Saint Augustine,Galesburg,Knox County,"","","","","","","","","","","",""
63797,30096,"14874",Zip,NY,NY,Pulteney,Corning,Steuben County,89058.0,88678.0,88608.0,88477.0,88978.0,87676.0,85204.0,84285.0,86420.0,90717.0,92954.0,93356.0
87758,30096,"67841",Zip,KS,KS,Ensign,"",Gray County,"","","","","","","","","","","",""
75827,30096,"40921",Zip,KY,KY,Barbourville,London,Knox County,"","","","","","","","","","","",""
67488,30096,"23025",Zip,VA,VA,Gloucester,Virginia Beach-Norfolk-Newport News,Gloucester County,"","","","","","","","","","","",""
80101,30096,"50042",Zip,IA,IA,Brayton,"",Audubon County,"","","","","","","","","","","",""
63433,30096,"14130",Zip,NY,NY,Town of Pike,"",Wyoming County,"","","","","","","","","","","",""
80882,30096,"52212",Zip,IA,IA,Center Junction,Cedar Rapids,Jones County,"","","","","","","","","","","",""
77410,30096,"45033",Zip,OH,OH,Cleves,Cincinnati,Hamilton County,50975.0,50519.0,50187.0,50315.0,50811.0,51423.0,51626.0,52274.0,53022.0,53901.0,54530.0,54975.0
74898,30096,"38589",Zip,TN,TN,Wilder,"",Fentress County,"","","","","","","","","","","",""
75470,30096,"40007",Zip,KY,KY,Bethlehem,Louisville/Jefferson County,Henry County,"","","","","","","","","","","",""
85487,30096,"62438",Zip,IL,IL,Lakewood,"",Shelby County,"","","","","","","","","","","",""
99467,30096,"97880",Zip,OR,OR,Ukiah,Hermiston-Pendleton,Umatilla County,"","","","","","","","","","","",""
82724,30096,"56249",Zip,MN,MN,Holloway,"",Swift County,"","","","","","","","","","","",""
83503,30096,"58063",Zip,ND,ND,Oriska,"",Barnes County,"","","","","","","","","","","",""
82449,30096,"55785",Zip,MN,MN,Swatara,"",Aitkin County,"","","","","","","","","","","",""
82417,30096,"55742",Zip,MN,MN,Goodland,Grand Rapids,Itasca County,"","","","","","","","","","","",""
82097,30096,"55087",Zip,MN,MN,Warsaw,Faribault-Northfield,Rice County,"","","","","","","","","","",146795.0,147476.0
77619,30096,"45360",Zip,OH,OH,Sidney,Sidney,Shelby County,"","","","","","","","","","","",""
83740,30096,"58565",Zip,ND,ND,Riverdale,"",McLean County,"","","","","","","","","","","",""
90167,30096,"73756",Zip,OK,OK,Loyal,"",Kingfisher County,"","","","","","","","","","","",""
89584,30132,"72470",Zip,AR,AR,Success,"",Clay County,"","","","","","","","","","","",""
85549,30132,"62538",Zip,IL,IL,Harvel,"",Montgomery County,"","","","","","","","","","","",""
82648,30132,"56141",Zip,MN,MN,Iona,"",Murray County,"","","","","","","","","","","",""
71761,30132,"32061",Zip,FL,FL,Lake Butler,"",Union County,"","","","","","","","","","","",""
87334,30132,"66842",Zip,KS,KS,Cassoday,Wichita,Butler County,"","","","","","","","","","","",""
80241,30132,"50243",Zip,IA,IA,Sheldahl,Des Moines-West Des Moines,Polk County,"","","","","","","","","","","",""
82430,30132,"55758",Zip,MN,MN,Kinney,Duluth,Saint Louis County,"","","","","","","","","","","",""
94643,30132,"84665",Zip,UT,UT,Fairview,"",Sanpete County,"","","","","","","","","","","",""
68812,30132,"25908",Zip,WV,WV,Coal City,Beckley,Raleigh County,29292.0,29464.0,29327.0,29537.0,29370.0,29521.0,29533.0,29913.0,30171.0,30316.0,30431.0,30706.0
75508,30132,"40062",Zip,KY,KY,New Hope,Bardstown,Nelson County,"","","","","","","","","","","",""
93559,30132,"80824",Zip,CO,CO,Kirk,"",Yuma County,"","","","","","","","","","","",""
86572,30132,"64741",Zip,MO,MO,Deerfield,"",Vernon County,"","","","","","","","","","","",""
100011,30159,"98860",Zip,WA,WA,Wilson Creek,Moses Lake,Grant County,"","","","","","","","","","","",""
89427,30159,"72175",Zip,AR,AR,Wabbaseka,Pine Bluff,Jefferson County,"","","","","","","","","","","",""
66963,30159,"21665",Zip,MD,MD,Sherwood,Easton,Talbot County,219175.0,218813.0,219132.0,220000.0,222197.0,224113.0,226733.0,227833.0,229555.0,229868.0,231101.0,231257.0
63556,30159,"14486",Zip,NY,NY,Town Of York,Rochester,Livingston County,"","","","","","","","","","","",""
87947,30159,"68348",Zip,NE,NE,Elk Creek,"",Johnson County,"","","","","","","","","","","",""
76917,30159,"43961",Zip,OH,OH,Stratton,Weirton-Steubenville,Jefferson County,"","","","","","","","","","","",""
90917,30159,"75450",Zip,TX,TX,Lake Creek,"",Delta County,"","","","","","","","","","","",""
87456,30159,"67103",Zip,KS,KS,Mayfield,Wichita,Sumner County,"","","","","","","","","","","",""
64095,30159,"15440",Zip,PA,PA,Wharton Township,Pittsburgh,Fayette County,"","","","","","","","","","","",""
84172,30159,"59748",Zip,MT,MT,Butte,Butte-Silver Bow,Silver Bow County,"","","","","","","","","","","",""
86540,30159,"64664",Zip,MO,MO,Mooresville,"",Livingston County,"","","","","","","","","","","",""
87365,30159,"66933",Zip,KS,KS,Barnes,"",Washington County,"","","","","","","","","","","",""
100104,30159,"99128",Zip,WA,WA,Farmington,Pullman,Whitman County,"","","","","","","","","","","",""
90073,30191,"73549",Zip,OK,OK,Headrick,Altus,Jackson County,49533.0,49579.0,49806.0,49708.0,49833.0,49833.0,49979.0,49673.0,49159.0,49002.0,48968.0,49201.0
64280,30191,"15734",Zip,PA,PA,Dicksonville,Indiana,Indiana County,"","","","","","","","","","","",""
86783,30191,"65335",Zip,MO,MO,Ionia,"",Benton County,"","","","","","","","","","","",""
64965,30191,"17223",Zip,PA,PA,Dublin Township,"",Fulton County,"","","","","","","","","","","",""
84071,30191,"59463",Zip,MT,MT,Monarch,Great Falls,Cascade County,"","","","","","","","","","","",""
88998,30191,"71276",Zip,LA,LA,Sondheimer,"",East Carroll Parish,"","","","","","","","","","","",""
80841,30191,"52134",Zip,IA,IA,Chester,"",Howard County,"","","","","","","","","","","",""
80341,30191,"50432",Zip,IA,IA,Crystal Lake,"",Hancock County,"","","","","","","","","","","",""
86458,30191,"64457",Zip,MO,MO,Guilford,Maryville,Nodaway County,"","","","","","","","","","","",""
93834,30191,"81640",Zip,CO,CO,Maybell,Craig,Moffat County,"","","","","","","","","","","",""
80454,30191,"50591",Zip,IA,IA,Thor,"",Humboldt County,"","","","","","","","","","","",""
63437,30191,"14134",Zip,NY,NY,Town Of Sardinia,Buffalo-Cheektowaga-Niagara Falls,Erie County,77249.0,79299.0,82211.0,86253.0,87359.0,85629.0,82521.0,79929.0,78028.0,76704.0,76827.0,76841.0
67280,30191,"22504",Zip,VA,VA,Laneview,"",Essex County,"","","","","","","","","","","",""
98475,30222,"95920",Zip,CA,CA,Butte City,"",Glenn County,"","","","","","","","","","","",""
87038,30222,"66017",Zip,KS,KS,Denton,St. Joseph,Doniphan County,"","","","","","","","","","","",""
